price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,availability_days,type_apartment,type_basement,type_duplex,type_house,type_townhouse,lease_term_months,location,location_avg_price
1950.0,3.0,2.5,1400.0,0.0,0.0,0,1,92,0,0,0,1,0,12,"beaumont, alberta",1917.8333333333333
1800.0,3.0,2.5,1400.0,0.0,0.0,0,0,92,0,0,0,1,0,12,"beaumont, alberta",1917.8333333333333
950.0,1.0,1.0,750.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"beiseker, alberta",1050.0
1150.0,2.0,1.0,850.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"beiseker, alberta",1050.0
2425.0,4.0,3.5,1240.0,0.0,0.0,0,0,14,0,0,0,0,1,12,"blackfalds, alberta",2098.3333333333335
1400.0,1.0,1.0,780.0,1.0,0.0,0,0,30,0,1,0,0,0,12,"blackfalds, alberta",2098.3333333333335
2470.0,3.0,2.0,1272.0,0.0,0.0,1,1,61,0,0,0,1,0,12,"blackfalds, alberta",2098.3333333333335
875.0,2.0,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1035.0,1.0,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1005.0,2.0,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1130.0,2.0,1.0,772.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
855.0,0.0,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1205.0,2.0,1.0,739.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1155.0,2.0,1.0,739.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1030.0,2.0,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1255.0,2.0,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1130.0,2.0,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1130.0,2.0,1.0,739.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1155.0,2.0,1.0,733.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
930.0,0.0,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1612.0,1.0,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1650.0,2.0,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1155.0,2.0,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1120.0,2.0,1.0,830.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1395.0,2.0,2.0,948.0,0.0,0.0,0,0,29,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1595.0,3.0,2.0,1267.0,0.0,0.0,0,0,29,1,0,0,0,0,12,"bonnyville, alberta",1179.842105263158
1780.0,2.0,1.0,779.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
2090.0,2.0,1.0,902.0,0.0,0.0,1,1,0,0,0,0,0,1,12,"brooks, alberta",1612.3
1775.0,2.0,1.0,771.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
