latitude,longitude,lease_term,price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,location_freq,type_apartment,type_basement,type_duplex,type_house,type_other,type_townhouse,availability_days
51.2810355,-114.0472916,12.0,1750.0,2.0,1.0,700.0,0,0,0,0,128.0,0,1,0,0,0,0,0
51.263381340333,-114.026004222412,12.0,1250.0,1.0,1.0,805.0,0,0,0,0,128.0,0,1,0,0,0,0,0
51.2592925,-114.0290917,12.0,2300.0,2.0,2.5,1250.0,0,0,1,1,128.0,0,0,0,0,0,1,0
51.2924668,-114.0097333,12.0,2100.0,1.0,1.0,700.0,0,0,1,1,128.0,0,0,0,1,0,0,0
51.2625251,-114.0452084,6.0,1300.0,1.0,1.0,550.0,0,0,0,0,128.0,0,1,0,0,0,0,0
51.2815229,-114.0258838,12.0,2500.0,3.0,2.5,1500.0,0,0,1,1,128.0,0,0,0,0,0,1,0
51.263773692711,-114.040650415869,6.0,3800.0,2.0,1.0,900.0,0,0,0,0,128.0,0,1,0,0,0,0,0
51.2695413,-113.9859512,12.0,850.0,1.0,1.0,2500.0,1,0,0,0,128.0,1,0,0,0,0,0,0
51.2891518,-114.0230327,12.0,1950.0,2.0,1.0,677.0,0,0,0,0,128.0,1,0,0,0,0,0,0
51.2529298,-114.011578,12.0,2600.0,3.0,2.5,1515.0,0,0,0,0,128.0,0,0,0,0,0,1,0
51.2632915,-114.0462188,12.0,2500.0,3.0,2.5,805.0,0,0,0,0,128.0,0,0,0,0,0,1,0
51.2526265,-114.0360833,12.0,3000.0,3.0,2.5,2000.0,0,0,0,0,128.0,0,0,0,1,0,0,0
51.2858751,-114.0165409,6.0,780.0,1.0,1.0,805.0,1,0,0,0,128.0,1,0,0,0,0,0,0
51.2831517,-114.0459165,3.0,700.0,1.0,1.0,1600.0,1,0,0,0,128.0,1,0,0,0,0,0,0
51.2672602,-114.0118268,6.0,850.0,1.0,1.0,805.0,0,0,0,0,128.0,1,0,0,0,0,0,0
51.3044974,-114.0115628,12.0,1630.0,1.0,1.0,616.0,0,0,1,1,128.0,1,0,0,0,0,0,30
51.3044974,-114.0115628,12.0,1630.0,1.0,1.0,616.0,0,0,1,1,128.0,1,0,0,0,0,0,0
51.3044974,-114.0115628,12.0,2090.0,2.0,2.0,971.0,0,0,1,1,128.0,1,0,0,0,0,0,0
51.3044974,-114.0115628,12.0,1735.0,1.0,1.0,654.0,0,0,1,1,128.0,1,0,0,0,0,0,0
51.3044974,-114.0115628,12.0,1710.0,1.0,1.0,616.0,0,0,1,1,128.0,1,0,0,0,0,0,0
51.3044974,-114.0115628,12.0,1840.0,1.0,1.0,711.0,0,0,1,1,128.0,1,0,0,0,0,0,0
51.3044974,-114.0115628,12.0,1955.0,2.0,2.0,906.0,0,0,1,1,128.0,1,0,0,0,0,0,61
51.3044974,-114.0115628,12.0,1670.0,1.0,1.0,616.0,0,0,1,1,128.0,1,0,0,0,0,0,61
51.2491537,-114.0171847,12.0,2550.0,3.0,2.5,1361.0,0,0,0,0,128.0,0,0,1,0,0,0,14
51.2863306,-114.0386921,6.0,900.0,1.0,1.0,805.0,1,0,0,0,128.0,0,1,0,0,0,0,14
51.2777434,-114.0446346,12.0,4000.0,4.0,4.0,2328.0,0,0,1,1,128.0,0,0,0,1,0,0,14
51.2987494,-114.0103409,6.0,2450.0,3.0,2.0,1500.0,0,0,0,0,128.0,0,0,0,1,0,0,14
51.2666342,-113.9934758,12.0,2048.0,2.0,1.0,870.0,0,0,1,1,128.0,1,0,0,0,0,0,60
51.2666342,-113.9934758,12.0,2138.0,2.0,2.0,974.0,0,0,1,1,128.0,1,0,0,0,0,0,29
51.2598366,-114.0281494,12.0,2200.0,3.0,2.5,1350.0,0,0,0,0,128.0,0,0,0,0,0,1,30
51.2744148,-114.0355933,12.0,3000.0,4.0,3.0,805.0,0,0,0,0,128.0,0,0,0,1,0,0,30
51.2561616,-114.0321096,12.0,2350.0,2.0,1.5,1038.0,0,0,1,1,128.0,0,0,0,0,0,1,30
51.256554358922,-113.995315940259,12.0,1675.0,2.0,1.0,1250.0,0,0,0,0,128.0,0,1,0,0,0,0,30
