rentfaster_id,city,province,address,latitude,longitude,type,price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,lease_term_months,availability_days
510224,Calgary,Alberta,1310 14 Ave SW,51.0406581,-114.0924003,apartment,1850.0,1.0,1.0,673.0,0,0,1,1,12,0
477770,Calgary,Alberta,6707 Elbow Drive SW,50.993236,-114.083221,apartment,1690.0,1.0,1.0,570.0,0,0,1,1,12,0
504046,Calgary,Alberta,6527 36th Avenue NW,51.085539,-114.1844015,townhouse,2499.0,3.0,2.0,1150.0,0,0,1,1,12,0
567534,Calgary,Alberta,123 10 Ave SW,51.0431884,-114.0639771,apartment,1780.0,1.0,1.0,643.0,0,0,1,1,12,0
78120,Calgary,Alberta,104 26 Avenue SW,51.029722,-114.064659,apartment,2404.0,2.0,2.0,1089.0,0,0,1,1,12,0
471183,Calgary,Alberta,850 11 St SW,51.045561201644,-114.08818162038,apartment,2150.0,1.0,1.0,638.0,0,0,1,1,12,0
549577,Calgary,Alberta,125 Wolf Hollow Cres SE,50.8746915,-114.0032811,apartment,2000.0,1.0,1.0,662.0,0,0,0,0,12,0
507598,Calgary,Alberta,1124 5 Ave NW,51.057110174252,-114.09092689102,apartment,2650.0,2.0,2.0,892.0,0,0,1,1,12,0
532711,Calgary,Alberta,524 10 Avenue SW,51.0437,-114.07212,apartment,6000.0,1.0,1.0,1039.0,1,0,1,1,12,0
535808,Calgary,Alberta,2232 33 Avenue Southwest,51.0242003,-114.1137206,apartment,2000.0,1.0,1.5,700.0,0,0,1,1,12,0
477774,Calgary,Alberta,912 6th Avenue SW,51.0481568,-114.0816373,apartment,1715.0,1.0,1.0,530.0,0,0,1,1,12,0
454557,Calgary,Alberta,611 7 Ave SE,51.0458488,-114.0498504,apartment,1825.0,1.0,1.0,562.0,0,0,1,1,12,0
417846,Calgary,Alberta,919 10 Ave SW,51.043534,-114.082819,apartment,1763.0,0.0,1.0,424.0,0,0,1,1,12,61
343049,Calgary,Alberta,2528 66 Avenue SW,50.994972,-114.119563,apartment,2341.0,2.0,1.0,870.0,0,0,1,0,12,98
518134,Calgary,Alberta,4135 University Ave NW,51.0775801,-114.1475871,apartment,1999.0,1.0,1.0,535.0,0,0,1,1,12,61
537535,Calgary,Alberta,4501 37th Street NW,51.091526,-114.141185,apartment,1680.0,1.0,1.0,640.0,0,0,1,1,12,30
558711,Calgary,Alberta,264 19 Avenue NE,51.0699208,-114.0563773,apartment,1899.0,1.0,1.0,495.0,0,0,1,1,12,14
486616,Calgary,Alberta,1870 45 Street NW,51.071068016946,-114.15904224603,apartment,2075.0,2.0,1.0,750.0,0,0,1,1,12,61
351340,Calgary,Alberta,605 13 Ave SW,51.0408325,-114.0752992,apartment,1719.0,1.0,1.0,484.0,0,0,1,1,12,30
510226,Calgary,Alberta,320 25 Ave SW,51.030971106775,-114.07101125938,apartment,1850.0,1.0,1.0,534.0,0,0,1,1,12,30
508375,Calgary,Alberta,815 14 Avenue SW,51.0398048,-114.0802735,apartment,2199.0,2.0,1.5,988.0,0,0,1,1,12,30
477778,Calgary,Alberta,1017 11 Ave SW,51.0420009,-114.0875656,apartment,2280.0,2.0,1.0,1113.0,0,0,1,1,12,30
522085,Calgary,Alberta,42 Cranbrook Gardens SE,50.861303505754,-113.97713988046,apartment,2200.0,2.0,2.0,934.0,0,0,0,0,12,30
568027,Calgary,Alberta,8231 19 Avenue SW,51.037121268379,-114.20740035597,apartment,1925.0,1.0,1.0,620.0,0,0,1,1,12,61
528641,Calgary,Alberta,5055 Northland Drive,51.098244613831,-114.14225476776,apartment,1925.0,1.0,1.0,676.0,0,0,1,1,12,92
357394,Calgary,Alberta,1213 13 Ave SW,51.0409725,-114.0899727,apartment,900.0,2.0,1.0,850.0,1,2,0,0,3,0
568084,Calgary,Alberta,149 Haskayne Drive Northwest,51.1092946,-114.2723534,basement,1575.0,2.0,1.0,910.0,0,0,1,1,12,0
571322,Calgary,Alberta,681 Savanna Boulevard Northeast,51.1347216,-113.9496947,apartment,1995.0,2.0,2.0,903.0,0,0,1,1,12,0
571976,Calgary,Alberta,303 13 Avenue Southwest,51.040326,-114.0687792,apartment,3700.0,2.0,2.0,1870.0,0,0,0,0,12,0
570770,Calgary,Alberta,303 60 24 Ave Sw,51.0322249,-114.0617923,apartment,2850.0,2.0,2.0,1298.0,0,0,0,0,12,0
566580,Calgary,Alberta,Herron Mews NE,51.1885468,-114.0498243,house,2500.0,3.0,2.5,1560.0,0,0,0,0,6,0
553379,Calgary,Alberta,Taradale,51.122987,-113.94154,house,2350.0,4.0,2.5,1650.0,1,0,0,0,12,0
569221,Calgary,Alberta,550 Riverfront Avenue,51.0472742,-114.0503523,apartment,1800.0,1.0,1.0,502.0,0,0,1,1,12,0
572561,Calgary,Alberta,7541 202 Avenue Southeast,50.8704973,-113.925537,duplex,1500.0,1.0,1.0,1600.0,0,0,0,0,6,0
