rentfaster_id,city,province,address,latitude,longitude,lease_term,type,price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,location_freq,price_sq_ft,availability_days
531158,Calgary,Alberta,83 Herron Rise Northeast,51.1880448,-114.0517527,12,house,3300.0,3.0,2.5,2480.0,False,False,False,False,3731.0,1.33,0
125475,Calgary,Alberta,East Village,51.0459145,-114.0493197,12,apartment,2800.0,2.0,2.0,1156.0,False,False,True,True,3731.0,2.42,0
565040,Calgary,Alberta,60 Legacy Reach Crescent Southeast,50.8560319,-113.9959065,6,duplex,1550.0,2.0,1.0,850.0,False,False,True,True,3731.0,1.82,0
535966,Calgary,Alberta,3720 Kerrydale Road Southwest,51.0207667,-114.1377256,12,house,2100.0,3.0,1.0,900.0,False,False,False,True,3731.0,2.33,0
570302,Calgary,Alberta,200 Brookgreen Drive Southwest,50.9609536,-114.1160877,12,house,3200.0,5.0,2.5,2082.0,False,False,True,True,3731.0,1.54,0
567948,Calgary,Alberta,740 Legacy Village Road Southeast,50.8599955,-114.0278349,12,apartment,2200.0,2.0,2.0,743.0,False,False,True,True,3731.0,2.96,0
560193,Calgary,Alberta,Rangeview,50.870433550382,-113.925377541027,12,house,1950.0,3.0,2.5,882.0,False,False,False,False,3731.0,2.21,0
564128,Calgary,Alberta,15 Sage Meadows Landing Northwest,51.1803525,-114.1322777,12,apartment,1850.0,2.0,1.0,725.0,False,False,False,False,3731.0,2.55,0
530126,Calgary,Alberta,Copperfield,50.9113118,-113.9395577,12,house,2700.0,3.0,2.5,1954.86,False,False,False,False,3731.0,1.38,0
548189,Calgary,Alberta,21158 Sheriff King Street Southwest,50.8698345,-114.0708877,12,basement,1225.0,1.0,1.0,700.0,False,False,True,True,3731.0,1.75,0
568335,Calgary,Alberta,1501 6 Street Southwest,51.0388233,-114.0771254,12,apartment,1675.0,1.0,1.0,460.0,False,False,False,False,3731.0,3.64,0
520683,Calgary,Alberta,30 Brentwood Common Northwest,51.0872517,-114.1285679,6,apartment,2350.0,2.0,1.0,882.0,True,False,False,False,3731.0,2.66,0
29988,Calgary,Alberta,4432 - 4th St NW,51.0918954,-114.0716014,12,apartment,1690.0,2.0,1.0,950.0,False,False,True,False,3731.0,1.78,0
133337,Calgary,Alberta,"502, 10 Brentwood Common NW",51.0870649,-114.128136,12,apartment,2045.0,2.0,1.0,882.0,False,False,False,False,3731.0,2.32,0
572106,Calgary,Alberta,Evanston,51.1749636,-114.1039044,12,house,3400.0,4.0,3.0,882.0,False,False,True,True,3731.0,3.85,0
570915,Calgary,Alberta,Tuscany Smt Sq NW,51.141378,-114.2556395,12,townhouse,2350.0,2.0,2.5,882.0,False,False,False,False,3731.0,2.66,0
530893,Calgary,Alberta,604 Britannia Drive Southwest,51.0141798,-114.0760778,12,house,7500.0,4.0,3.5,2590.0,False,False,True,True,3731.0,2.9,0
571977,Calgary,Alberta,930 6 Avenue Southwest,51.0482467,-114.0824216,12,apartment,2200.0,1.0,1.0,627.0,True,False,True,True,3731.0,3.51,0
132278,Calgary,Alberta,Rocky Ridge,51.14519,-114.24197,12,apartment,2300.0,2.0,2.0,1200.0,False,False,False,False,3731.0,1.92,0
569361,Calgary,Alberta,261 Millview Green Southwest,50.9171008,-114.0991592,12,townhouse,2450.0,3.0,1.5,1084.0,False,False,True,True,3731.0,2.26,0
561574,Calgary,Alberta,120 Legacy Point Southeast,50.8566685,-114.0221389,12,townhouse,2700.0,3.0,2.5,1743.0,False,False,True,True,3731.0,1.55,0
565145,Calgary,Alberta,Haysboro,50.975676734325,-114.073308166656,12,apartment,2100.0,2.0,2.0,975.0,False,False,False,False,3731.0,2.15,0
355962,Calgary,Alberta,North Haven,51.108034,-114.080285,12,house,2300.0,3.0,1.5,1200.0,False,False,True,False,3731.0,1.92,0
486949,Calgary,Alberta,1027 Cameron Ave SW,51.0361453,-114.0861162,12,apartment,1445.0,1.0,1.0,620.0,False,False,False,False,3731.0,2.33,0
570533,Calgary,Alberta,442 Rocky Ridge Cove Northwest,51.1463656,-114.2401319,12,house,3595.0,4.0,3.0,3350.0,False,False,True,True,3731.0,1.07,0
572567,Calgary,Alberta,7541 202 Avenue Southeast,50.8704973,-113.925537,12,duplex,2500.0,3.0,3.0,1600.0,False,False,False,False,3731.0,1.56,0
409961,Calgary,Alberta,2815B 16 Avenue Southeast,51.038498,-113.9945446,12,basement,1650.0,2.0,1.0,1000.0,False,False,True,False,3731.0,1.65,0
299522,Calgary,Alberta,402 Marquis Lane Southeast,50.9023446,-113.9249273,12,apartment,1895.0,1.0,1.0,700.0,False,False,False,False,3731.0,2.71,0
572529,Calgary,Alberta,45 Coville Gardens Northeast,51.1733535,-114.042054,12,house,3150.0,3.0,3.0,882.0,False,False,False,False,3731.0,3.57,0
116913,Calgary,Alberta,225 11th Ave SE,51.0419901,-114.0594374,3,apartment,2600.0,2.0,2.0,850.0,False,False,False,False,3731.0,3.06,0
365702,Calgary,Alberta,Panorama Hills,51.1578493,-114.0729392,12,house,2500.0,3.0,2.5,1552.0,False,False,False,False,3731.0,1.61,0
569654,Calgary,Alberta,Kingsland,50.9896365,-114.0755204,12,townhouse,2400.0,3.0,1.5,1100.0,False,False,False,False,3731.0,2.18,0
19643,Calgary,Alberta,2010 Ulster Rd. NW,51.0703993,-114.1266482,12,apartment,2199.0,2.0,1.0,1200.0,False,False,True,True,3731.0,1.83,29
566508,Calgary,Alberta,16 Varsity Estates Circle NW,51.1036113,-114.1635235,12,apartment,2800.0,2.0,2.0,882.0,False,False,True,True,3731.0,3.17,0
569797,Calgary,Alberta,Sandstone,51.1395816,-114.1020208,6,apartment,850.0,1.0,1.0,2200.0,False,False,False,False,3731.0,0.39,0
489391,Calgary,Alberta,235 Penbrooke Close Southeast,51.063387094253,-113.933930283545,12,house,2800.0,4.0,2.0,882.0,False,False,False,False,3731.0,3.17,0
76294,Calgary,Alberta,"1828 42 St SE, Calgary, AB, Canada,",51.0368429,-113.9725415,12,duplex,1680.0,2.0,1.0,882.0,False,False,True,True,3731.0,1.9,0
572491,Calgary,Alberta,8880 Horton Road Southwest,50.9751303,-114.0737471,12,apartment,1750.0,1.0,1.0,750.0,False,False,True,True,3731.0,2.33,0
571498,Calgary,Alberta,408 Seton Circle Southeast,50.8680434,-113.955245,12,townhouse,1400.0,1.0,1.0,550.0,False,False,True,False,3731.0,2.55,0
524559,Calgary,Alberta,Sundance,50.9050989,-114.0446127,12,basement,1550.0,1.0,1.0,1000.0,False,False,False,False,3731.0,1.55,0
572527,Calgary,Alberta,61 Galbraith Drive Southwest,51.0104967,-114.1442763,12,duplex,2200.0,3.0,1.5,1100.0,False,False,True,True,3731.0,2.0,0
506011,Calgary,Alberta,927 2 Avenue Northwest,51.0553542,-114.0823738,12,apartment,1125.0,2.0,1.0,775.0,True,False,False,False,3731.0,1.45,0
572291,Calgary,Alberta,Capitol Hill,51.0694748,-114.0862308,6,townhouse,3300.0,3.0,2.5,2000.0,False,False,True,True,3731.0,1.65,0
564667,Calgary,Alberta,20 Edgebrook Circle Northwest,51.1335255,-114.1285225,12,house,3280.0,4.0,3.5,23001000.0,False,False,False,False,3731.0,0.0,0
570877,Calgary,Alberta,3227 48 Street Northeast,51.0812743,-113.9640146,12,basement,1600.0,2.0,1.0,800.0,False,False,True,True,3731.0,2.0,0
572431,Calgary,Alberta,Penbrooke Meadows,51.0461184,-113.9409505,12,basement,1800.0,3.0,1.0,882.0,False,False,False,False,3731.0,2.04,0
569516,Calgary,Alberta,Millrise,50.915798,-114.075618,6,duplex,2900.0,3.0,2.5,1432.0,True,False,False,False,3731.0,2.03,0
572463,Calgary,Alberta,194 Creekstone Way Southwest,50.8623391,-114.0567475,12,house,3500.0,4.0,2.5,2100.0,False,False,False,False,3731.0,1.67,0
572341,Calgary,Alberta,Capitol Hill,51.0694748,-114.0862308,6,basement,1700.0,1.0,1.0,700.0,False,False,True,True,3731.0,2.43,0
98628,Calgary,Alberta,1078 6th Avenue Southwest,51.0482801,-114.0848585,12,apartment,3100.0,2.0,2.0,1076.0,True,False,False,False,3731.0,2.88,0
572481,Calgary,Alberta,89 Corner Ridge Mews Northeast,51.1495659,-113.9369391,12,house,2300.0,3.0,2.5,882.0,False,False,False,False,3731.0,2.61,0
565545,Calgary,Alberta,535 13 Ave SW,51.0031304,-114.0775041,12,apartment,1595.0,1.0,1.0,833.0,False,False,False,False,3731.0,1.91,0
571464,Calgary,Alberta,850 Belmont Drive Southwest,50.863674,-114.0645162,12,townhouse,2350.0,2.0,2.5,1153.0,False,False,False,False,3731.0,2.04,0
570171,Calgary,Alberta,Seton,50.8647699,-113.9555756,6,basement,1500.0,1.0,1.0,882.0,False,False,False,False,3731.0,1.7,0
562599,Calgary,Alberta,340 14 Avenue Southwest,51.0399825,-114.070754,3,other,120.0,2.0,1.0,882.0,False,False,False,False,3731.0,0.14,0
400121,Calgary,Alberta,Varsity,51.0918354,-114.1429668,12,house,2850.0,6.0,2.5,1220.0,False,False,False,False,3731.0,2.34,0
528290,Calgary,Alberta,Pineridge,51.0762809,-113.9444622,12,house,2500.0,3.0,2.0,1125.0,False,False,True,True,3731.0,2.22,0
549394,Calgary,Alberta,Homestead Blvd NE,51.114205840111,-113.912551031738,6,house,3000.0,3.0,2.5,1250.0,False,False,True,True,3731.0,2.4,0
571956,Calgary,Alberta,Shawnee Sq SW,50.9225298,-114.0823528,12,townhouse,2700.0,3.0,2.5,1315.0,False,False,False,False,3731.0,2.05,0
128795,Calgary,Alberta,Bridgeland,51.0496002,-114.0399127,12,apartment,2400.0,2.0,2.0,894.0,False,False,False,False,3731.0,2.68,0
